;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41004442;MICHELLE C XAVIER E EI EF MOD ED ESP;Urbana;Paraná;ALTONIA
41004477;OURO VERDE E E DO C EF;Rural;Paraná;ALTONIA
41004523;RUBENS TESSARO E M PROF EI EF;Urbana;Paraná;ALTONIA
41004531;RUI BARBOSA E M EI EF;Urbana;Paraná;ALTONIA
41004540;SAO JOAO E E EF;Urbana;Paraná;ALTONIA
41004558;TELMA AP P BONFIM E M PROFA EI F;Urbana;Paraná;ALTONIA
41004574;CAXIAS E E C DQ DE EF;Urbana;Paraná;ALTO PIQUIRI
41004582;CECILIA MEIRELES E M EI EF;Urbana;Paraná;ALTO PIQUIRI
41004590;JOAO XXIII C E PAPA EM;Urbana;Paraná;ALTO PIQUIRI
41004612;JUCUNDINO FURTADO E E DO C PROF EF;Urbana;Paraná;ALTO PIQUIRI
41004639;LUIZ SIBIRINO DE MOURA E M EI EF;Urbana;Paraná;ALTO PIQUIRI
41004647;MANUEL BANDEIRA E E EF;Urbana;Paraná;ALTO PIQUIRI
41004655;MIRANTE DO PIQUIRI E M EI EF;Urbana;Paraná;ALTO PIQUIRI
41004663;PARIGOT DE SOUZA E M GOV EI EF;Urbana;Paraná;ALTO PIQUIRI
41004671;PAULISTANIA E M EI EF;Urbana;Paraná;ALTO PIQUIRI
41004701;SALTINHO DO OESTE E M DE EI EF;Urbana;Paraná;ALTO PIQUIRI
41004728;VINICIUS DE MORAES E E DO C EF;Urbana;Paraná;ALTO PIQUIRI
41004736;ALICE ZANELLA DE SOUZA E M EF;Urbana;Paraná;BRASILANDIA DO SUL
41004752;NAIR DOS SANTOS E M EI EF;Urbana;Paraná;BRASILANDIA DO SUL
41004760;PEQUENO PRINCIPE C M E I;Urbana;Paraná;BRASILANDIA DO SUL
41004779;RUI BARBOSA C E EF M;Urbana;Paraná;BRASILANDIA DO SUL
41004795;FRANKLIN ROOSEVELT E M EI EF;Urbana;Paraná;CAFEZAL DO SUL
41004809;GUAIPORA E E DE EF;Urbana;Paraná;CAFEZAL DO SUL
41004817;JOHN KENNEDY E M EI EF;Urbana;Paraná;CAFEZAL DO SUL
41004884;SOUZA NAVES E M EI EF;Urbana;Paraná;CAFEZAL DO SUL
41004892;TIRADENTES C E EF M;Urbana;Paraná;CAFEZAL DO SUL
41004906;JANGADA E E EF;Urbana;Paraná;CAFEZAL DO SUL
41004930;AMARAL FONTOURA E M EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41004957;ANCHIETA C E EM N;Urbana;Paraná;CRUZEIRO DO OESTE
41005007;CANTINHO DOS ANJOS C M E I;Urbana;Paraná;CRUZEIRO DO OESTE
41005090;CRUZEIRO DO OESTE C E EF M;Urbana;Paraná;CRUZEIRO DO OESTE
41005112;EMILIANO PERNETA E M EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41005147;IRMA ANA TOMCZAK E EI EF MOD ED ESP;Urbana;Paraná;CRUZEIRO DO OESTE
41005201;NISIA FLORESTA E M EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41005210;ESCOLA VICENTINA NOSSA SENHORA DE FATIMA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Urbana;Paraná;CRUZEIRO DO OESTE
41005236;ROCHA POMBO E M EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41005244;ROSIMERI O CONSALTER E M PROFA EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41005325;SAO SILVESTRE E E DO C EF;Rural;Paraná;CRUZEIRO DO OESTE
41005341;TAMANDARE C E ALM EF M PROFIS;Urbana;Paraná;CRUZEIRO DO OESTE
41005350;TASSO DA SILVEIRA E M EI EF;Urbana;Paraná;CRUZEIRO DO OESTE
41005384;DOURADINA C E EF M;Urbana;Paraná;DOURADINA
41005392;DRUMMOND DE ANDRADE E M EI EF;Urbana;Paraná;DOURADINA
41005465;VILA FORMOSA E R M EF;Rural;Paraná;DOURADINA
41005473;ANTONIO VIEIRA E E PE EF;Urbana;Paraná;FRANCISCO ALVES
41005481;BAIRRO CATARINENSE E E C DO EF;Rural;Paraná;FRANCISCO ALVES
41005546;PEDACINHO DO CEU C M E I;Urbana;Paraná;FRANCISCO ALVES
41005562;DIONISIO PEDRINI E M EI EF;Rural;Paraná;FRANCISCO ALVES
41005597;GLORIA X DE MENDONCA E M EF;Urbana;Paraná;FRANCISCO ALVES
41005635;JULIO LEVINO RODRIGUES E M PROF EF;Urbana;Paraná;FRANCISCO ALVES
41005740;VICENTE TOMAZINI C E EF M N;Urbana;Paraná;FRANCISCO ALVES
41005767;ANTONIO F F COSTA C E DES EF M;Urbana;Paraná;ICARAIMA
41005775;BENJAMIM CONSTANT E E EF;Urbana;Paraná;ICARAIMA
41005791;CASINHA FELIZ C M E I;Urbana;Paraná;ICARAIMA
41005856;ICARAIMA E M EF;Urbana;Paraná;ICARAIMA
41005902;MONTEIRO LOBATO E M EI EF;Urbana;Paraná;ICARAIMA
41005929;PORTO CAMARGO E E DE EF;Urbana;Paraná;ICARAIMA
41005970;TANCREDO NEVES E M EI EF;Urbana;Paraná;ICARAIMA
41006011;ANTENOR P DOS SANTOS E E DR EF;Urbana;Paraná;IPORA
41006100;IPORA C E DE EF M PROFIS;Urbana;Paraná;IPORA
41006127;JOSE P BUSATO E PE EI EF MOD ED ESP;Urbana;Paraná;IPORA
41006151;NOSSA SRA APARECIDA EDUC INF E ENS FUND;Urbana;Paraná;IPORA
41006186;PEDRO I E E D EF;Urbana;Paraná;IPORA
41006224;SANTO ANTONIO E R M ENS FUND;Rural;Paraná;IPORA
41006240;VILA NILZA E E EF;Urbana;Paraná;IPORA
41006259;WILLY BARTH E M EI EF;Urbana;Paraná;IPORA
41006267;JOSE VICENTE DA SILVA E M EF;Urbana;Paraná;IPORA
41006275;GETULIO VARGAS C E PRES EF M;Urbana;Paraná;IVATE
41006283;HERCULANDIA E M EF;Urbana;Paraná;IVATE
41006291;WALTER BERGMAN E M PROF EI EF;Urbana;Paraná;IVATE
41006348;RACHEL DE QUEIROZ C E EF M;Urbana;Paraná;IVATE
41006437;CARBONERA C E EF M;Urbana;Paraná;MARIA HELENA
41006542;LEONIDIA PACHECO C E PROFA EF M;Urbana;Paraná;MARIA HELENA
41006569;NEY A DE BARROS BRAGA E M GOV EI EF;Urbana;Paraná;MARIA HELENA
41006585;NOSSA SENHORA DAS GRACAS E M EI EF;Urbana;Paraná;MARIA HELENA
41006747;ARNALDO BUSATO E M EI EF;Urbana;Paraná;MARILUZ
41006763;AUGUSTA GUTIERREZ LOPES E R M EI EF;Rural;Paraná;MARILUZ
41006798;BOSCO C E D EF M;Urbana;Paraná;MARILUZ
41006801;HILMAR R MIYAKAWA C M E I DR;Urbana;Paraná;MARILUZ
41006836;JOSE A DE ALMEIDA C E EF M PROFIS N;Urbana;Paraná;MARILUZ
41006844;LAUDELINO ROSA MELLO E M EI EF;Urbana;Paraná;MARILUZ
41006852;MANOEL RIBAS E M EI EF;Urbana;Paraná;MARILUZ
41006950;SEBASTIAO J MONTEIRO E M EI EF;Urbana;Paraná;MARILUZ
41006976;CAXIAS C E DQ DE EF M;Urbana;Paraná;NOVA OLIMPIA
41006984;MARIA R TRAVAGLIA E M PROF EI EF;Urbana;Paraná;NOVA OLIMPIA
41007069;ARMINDA R SOUZA E M EI EF;Urbana;Paraná;PEROLA
41007077;ARTHUR DA C SILVA C E MAL EF M;Urbana;Paraná;ESPERANCA NOVA
41007107;19 DE JUNHO E EI EF MOD ED ESP;Urbana;Paraná;PEROLA
41007115;DULCE E M IRMA EF;Urbana;Paraná;ESPERANCA NOVA
41007131;NESTOR VICTOR C E EF M N;Urbana;Paraná;PEROLA
41007140;PEROLA BYINGTON C E DONA EF M;Urbana;Paraná;PEROLA
41007174;WALDEMAR BIACA E M PROF EF;Urbana;Paraná;PEROLA
41007182;GURUCAIA E E C EF;Rural;Paraná;SAO JORGE DO PATROCINIO
41007212;PETRONIO PORTELA C E MIN EF M;Urbana;Paraná;SAO JORGE DO PATROCINIO
41007271;CAMPOS SALES E M EI EF;Urbana;Paraná;TAPIRA
41007280;CASTELO BRANCO C E PRES EF M;Urbana;Paraná;TAPIRA
41007328;DACIA FIGUEIREDO FORTES E M EI EF;Urbana;Paraná;TAPIRA
41007360;MARIO RIBEIRO BORGES E M EI EF;Rural;Paraná;TAPIRA
41007387;OURO VERDE E E EF;Rural;Paraná;TAPIRA
41007441;SAO JOSE C E EM;Urbana;Paraná;TAPIRA
41007476;ABC DO SAPEQUINHA E EI EF;Urbana;Paraná;UMUARAMA
41007484;ESCOLA ADVENTISTA DE UMUARAMA - EDUC INF E ENS FUND;Urbana;Paraná;UMUARAMA
41007514;ALFA DE UMUARAMA C EF M SEDE;Urbana;Paraná;UMUARAMA
41007549;ANA NERI C E EF M;Urbana;Paraná;PEROBAL
